Running experiment: Domain=termes, Time Limit=1000, Task ID=1, Agents=2
Running experiment: Domain=termes, Time Limit=1000, Task ID=3, Agents=2
Running experiment: Domain=termes, Time Limit=1000, Task ID=4, Agents=2
Running experiment: Domain=termes, Time Limit=1000, Task ID=5, Agents=2
Running experiment: Domain=termes, Time Limit=1000, Task ID=6, Agents=2
Running experiment: Domain=termes, Time Limit=1000, Task ID=7, Agents=2
Running experiment: Domain=termes, Time Limit=1000, Task ID=8, Agents=2
Running experiment: Domain=termes, Time Limit=1000, Task ID=9, Agents=2
Running experiment: Domain=termes, Time Limit=1000, Task ID=10, Agents=2
Running experiment: Domain=termes, Time Limit=1000, Task ID=11, Agents=2
Running experiment: Domain=termes, Time Limit=1000, Task ID=12, Agents=2
Running experiment: Domain=termes, Time Limit=1000, Task ID=13, Agents=2
Running experiment: Domain=termes, Time Limit=1000, Task ID=14, Agents=2
Running experiment: Domain=termes, Time Limit=1000, Task ID=15, Agents=2
